Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Sample Purge Flow,Balance Purge Flow, ,,
0,2.92929,0,30,30,20,40, ,30,100
0.016667,2.929032,0,30,30,20,40, ,30,99.9911924
0.033333,2.929032,0,30,30,20,40, ,30,99.9911924
0.05,2.929032,0,30,30,20,40, ,30,99.9911924
0.066667,2.929032,0,30,30,20,40, ,30,99.9911924
0.083333,2.929032,0,30,30,20,40, ,30,99.9911924
0.1,2.928774,0,30,30,20,40, ,30,99.98238481
0.116667,2.928774,0,30,30,20,40, ,30,99.98238481
0.133333,2.928774,0,30,30,20,40, ,30,99.98238481
0.15,2.928774,0,30,30,20,40, ,30,99.98238481
0.166667,2.928516,0,30,30,20,40, ,30,99.97357721
0.183333,2.928516,0,30,30,20,40, ,30,99.97357721
0.2,2.928516,0,30,30,20,40, ,30,99.97357721
0.216667,2.928258,0,30,30.01,20,40, ,30.01,99.96476962
0.233333,2.928258,0,30,30.01,20,40, ,30.01,99.96476962
0.25,2.928258,0,30,30.01,20,40, ,30.01,99.96476962
0.266667,2.928,0,30,30,20,40, ,30,99.95596202
0.283333,2.928,0,30,30,20,40, ,30,99.95596202
0.3,2.928,0,30,30,20,40, ,30,99.95596202
0.316667,2.928,0,30,30,20,40, ,30,99.95596202
0.333333,2.928,0,30,30.01,20,40, ,30.01,99.95596202
0.35,2.928,0,30,29.99,20,40, ,29.99,99.95596202
0.366667,2.928,0,30,29.99,20,40, ,29.99,99.95596202
0.383333,2.928,0,30,30,20,40, ,30,99.95596202
0.4,2.927742,0,30,30,20,40, ,30,99.94715443
0.416667,2.927742,0,30,30.01,20,40, ,30.01,99.94715443
0.433333,2.927742,0,30,30,20,40, ,30,99.94715443
0.45,2.927742,0,30,30.01,20,40, ,30.01,99.94715443
0.466667,2.927484,0,30,30,20,40, ,30,99.93834683
0.483333,2.927484,0,30,30,20,40, ,30,99.93834683
0.5,2.927484,0,30,30,20,40, ,30,99.93834683
