Filename:	TEST
Operator ID:	 
Sample ID:	HMm-1130 
Comment: 	 
Serial Number:	002042001 
Data Collected:	06.12.2019 12:19:21 
Sample Weight:	12.492 mg 
Display Weight:	12.492 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	TEST
Date/Time:	 
Initial Conditions 
Temperature:	 50.00 �C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1155 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00�C 
 
2)	Heat from 50.00�C to 700.00�C at 40.00�C/min 
 
3)	Hold for 2.0 min at 700.00�C 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	0.000000	12.409264	0.000000	50.000000	47.240000	19.800000	0.000000 
	0.016667	12.408839	0.000000	50.000000	47.260000	19.800000	0.000000 
	0.033333	12.408627	0.000000	50.000000	47.290000	19.800000	0.000000 
	0.050000	12.408202	0.000000	50.000000	47.320000	19.800000	0.000000 
	0.066667	12.407777	0.000000	50.000000	47.340000	19.800000	0.000000 
	0.083333	12.407140	0.000000	50.000000	47.370000	19.800000	0.000000 
	0.100000	12.406715	0.000000	50.000000	47.390000	19.800000	0.000000 
	0.116667	12.406502	0.000000	50.000000	47.420000	19.800000	0.000000 
	0.133333	12.406077	0.000000	50.000000	47.440000	19.800000	0.000000 
	0.150000	12.405865	0.000000	50.000000	47.470000	19.800000	0.000000 
	0.166667	12.405440	0.000000	50.000000	47.490000	19.800000	0.000000 
	0.183333	12.405015	0.000000	50.000000	47.520000	19.800000	0.000000 
	0.200000	12.404802	0.000000	50.000000	47.540000	19.800000	0.000000 
	0.216667	12.404590	0.000000	50.000000	47.560000	19.800000	0.000000 
	0.233333	12.404377	0.000000	50.000000	47.590000	19.800000	0.000000 
	0.250000	12.404165	0.000000	50.000000	47.610000	19.800000	0.000000 
	0.266667	12.403952	0.000000	50.000000	47.630000	19.800000	0.000000 
	0.283333	12.403740	0.000000	50.000000	47.660000	19.800000	0.000000 
	0.300000	12.403527	0.000000	50.000000	47.680000	19.800000	0.000000 
	0.316667	12.403315	0.000000	50.000000	47.700000	19.800000	0.000000 
	0.333333	12.403102	0.000000	50.000000	47.720000	19.800000	0.000000 
	0.350000	12.402890	0.000000	50.000000	47.740000	19.800000	0.000000 
	0.366667	12.402677	0.000000	50.000000	47.770000	19.800000	0.000000 
	0.383333	12.402465	0.000000	50.000000	47.790000	19.800000	0.000000 
	0.400000	12.402252	0.000000	50.000000	47.810000	19.800000	0.000000 
	0.416667	12.402040	0.000000	50.000000	47.830000	19.800000	0.000000 
	0.433333	12.401615	0.000000	50.000000	47.850000	19.800000	0.000000 
	0.450000	12.401402	0.000000	50.000000	47.870000	19.800000	0.000000 
	0.466667	12.401190	0.000000	50.000000	47.890000	19.800000	0.000000 
	0.483333	12.400977	0.000000	50.000000	47.910000	19.800000	0.000000 
	0.500000	12.400552	0.000000	50.000000	47.930000	19.800000	0.000000 
	0.516667	12.400128	0.000000	50.000000	47.950000	19.800000	0.000000 
	0.533333	12.399703	0.000000	50.000000	47.960000	19.800000	0.000000 
	0.550000	12.399278	0.000000	50.000000	47.980000	19.800000	0.000000 
	0.566667	12.398853	0.000000	50.000000	48.000000	19.800000	0.000000 
	0.583333	12.398640	0.000000	50.000000	48.020000	19.800000	0.000000 
	0.600000	12.398428	0.000000	50.000000	48.040000	19.800000	0.000000 
	0.616667	12.398215	0.000000	50.000000	48.060000	19.800000	0.000000 
	0.633333	12.398003	0.000000	50.000000	48.070000	19.800000	0.000000 
	0.650000	12.397578	0.000000	50.000000	48.090000	19.800000	0.000000 
	0.666667	12.397365	0.000000	50.000000	48.110000	19.800000	0.000000 
	0.683333	12.397153	0.000000	50.000000	48.130000	19.800000	0.000000 
	0.700000	12.396940	0.000000	50.000000	48.140000	19.800000	0.000000 
	0.716667	12.396728	0.000000	50.000000	48.160000	19.800000	0.000000 
	0.733333	12.396515	0.000000	50.000000	48.170000	19.800000	0.000000 
	0.750000	12.396303	0.000000	50.000000	48.190000	19.800000	0.000000 
	0.766667	12.396090	0.000000	50.000000	48.210000	19.800000	0.000000 
	0.783333	12.395665	0.000000	50.000000	48.220000	19.800000	0.000000 
	0.800000	12.395453	0.000000	50.000000	48.240000	19.800000	0.000000 
	0.816667	12.395240	0.000000	50.000000	48.250000	19.800000	0.000000 
	0.833333	12.395028	0.000000	50.000000	48.270000	19.800000	0.000000 
